total_electricity_kw,fans_kw,cooling_kw,heating_kw,lights_kw,equipment_kw,total_gas_kw,Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),datetime
1074.88609509,101.582155466,439.383614516,0,109.682768182,220.96816451,682.375975345,608.261664841,56.6466996096,17.4676108943,2022-12-23 09:00:00
1216.14971309,101.983437429,473.259040352,0,131.945524568,266.955817592,627.561093958,567.537173134,42.4850247072,17.5388961169,2022-12-23 10:00:00
1278.22547664,102.01538158,522.975673119,0,131.945524568,274.45309292,651.475126348,554.262105963,70.808374512,26.4046458731,2022-12-23 11:00:00
1299.58847879,102.030210726,538.366750754,0,131.945524568,274.45309292,643.831199628,546.618852371,70.808374512,26.4039727446,2022-12-23 12:00:00
1277.0244364,102.081552763,545.100214611,0,131.945524568,274.45309292,626.938934718,529.732589567,70.808374512,26.3979706393,2022-12-23 13:00:00
1279.61097741,102.158473135,548.622678808,0,131.945524568,266.955817592,602.914917506,519.871313414,56.6466996096,26.3969044826,2022-12-23 14:00:00
1285.17650148,102.245610094,550.629869567,0,131.945524568,266.955817592,579.169121736,510.289152547,42.4850247072,26.3949444819,2022-12-23 15:00:00
1203.55772181,101.247039609,552.58442055,0,109.682768182,212.545889182,455.995223049,372.944702773,56.6466996096,26.4038206668,2022-12-23 16:00:00
1217.71452428,101.247039609,554.521148778,0,109.682768182,220.04316451,484.865938615,373.498426848,84.9700494144,26.3974623524,2022-12-23 17:00:00
1189.78093071,101.247039609,553.175684009,0,109.682768182,220.04316451,502.065611438,390.815216785,84.9700494144,26.2803452385,2022-12-23 18:00:00
1153.44419959,101.247039609,551.201516476,0,100.150657288,199.110933808,519.751464666,426.078846522,84.9700494144,8.70256872928,2022-12-23 19:00:00
1136.64946685,101.247039609,549.742237588,0,100.150657288,191.61365848,502.684476496,430.100651374,56.6466996096,15.9371255122,2022-12-23 20:00:00
1012.14943584,101.247039609,549.132626895,0,55.6251445156,124.558693486,540.033637681,473.237854918,56.6466996096,10.1490831531,2022-12-23 21:00:00
1006.33682153,101.247039609,548.335963205,0,55.6251445156,124.558693486,533.003276239,481.8155042,42.4850247072,8.70274733156,2022-12-23 22:00:00
899.377283504,101.247039609,461.151792718,0,46.0930336215,124.558693486,549.732512187,504.024109644,28.3233498048,17.3850527382,2022-12-23 23:00:00
905.683757716,101.247039609,452.396732865,0,34.9616554283,124.558693486,545.267677954,513.720891234,14.1616749024,17.3851118178,2022-12-24 00:00:00
885.510143341,101.247039609,468.543073184,0,34.9616554283,113.312780494,545.854212132,522.802585503,5.66466996096,17.3869566678,2022-12-24 01:00:00
892.834313183,101.247039609,471.579467795,0,34.9616554283,113.312780494,544.594391912,530.227763255,5.66466996096,8.70195869587,2022-12-24 02:00:00
882.911246509,101.247039609,462.566356506,0,34.9616554283,113.312780494,561.699934195,538.649237555,5.66466996096,17.3860266788,2022-12-24 03:00:00
868.108406085,101.247039609,445.126224096,0,34.9616554283,113.312780494,565.661039491,551.29226315,5.66466996096,8.70410638023,2022-12-24 04:00:00
857.019416421,101.247039609,426.956008241,0,44.4937663224,113.312780494,575.807506944,552.757736098,5.66466996096,17.3851008859,2022-12-24 05:00:00
842.158449356,101.247039609,414.104739924,0,44.4937663224,113.312780494,585.390529581,562.525233299,14.1616749024,8.7036213797,2022-12-24 06:00:00
902.747821822,101.247039609,401.164403806,0,54.0258772165,176.889270242,553.010570894,507.303003945,28.3233498048,17.3842171432,2022-12-24 07:00:00
905.142812593,101.247039609,401.787980995,0,54.0258772165,184.38654557,555.407411634,504.219245264,42.4850247072,8.7031416628,2022-12-24 08:00:00
1003.1782472,101.247039609,424.921412306,0,65.1572554096,220.04316451,548.051410721,473.953114849,56.6466996096,17.4515962618,2022-12-24 09:00:00
1052.87875056,101.247039609,476.290586134,0,65.1572554096,212.545889182,515.99207369,455.985191323,42.4850247072,17.5218576606,2022-12-24 10:00:00
1120.40026524,101.247039609,529.420309144,0,65.1572554096,220.04316451,539.75048711,442.563100055,70.808374512,26.3790125432,2022-12-24 11:00:00
1141.08117003,101.247039609,539.950143971,0,65.1572554096,220.04316451,528.589546991,431.400139138,70.808374512,26.3810333411,2022-12-24 12:00:00
1152.2316097,101.247039609,547.4844449,0,65.1572554096,220.04316451,514.085038608,416.89863617,70.808374512,26.3780279258,2022-12-24 13:00:00
1157.32574831,101.247039609,550.082044493,0,65.1572554096,212.545889182,478.868640372,395.84164809,56.6466996096,26.3802926722,2022-12-24 14:00:00
1146.66517752,101.247039609,532.949424899,0,65.1572554096,212.545889182,437.664669442,368.802166632,42.4850247072,26.3774781035,2022-12-24 15:00:00
1146.21398139,101.247039609,530.102992139,0,65.1572554096,212.545889182,431.298648021,348.272133823,56.6466996096,26.3798145891,2022-12-24 16:00:00
1126.26483495,101.247039609,543.568447856,0,65.1572554096,220.04316451,449.110129671,346.335023536,84.9700494144,17.8050567205,2022-12-24 17:00:00
1100.75965883,101.247039609,557.604870965,0,54.0258772165,184.38654557,493.516170528,382.478667868,84.9700494144,26.0674532455,2022-12-24 18:00:00
1069.62351722,101.247039609,556.410640336,0,44.4937663224,163.454314868,514.605641917,420.933132107,84.9700494144,8.702460395,2022-12-24 19:00:00
1055.38430502,101.247039609,550.978632738,0,44.4937663224,155.95703954,500.737481805,426.703761688,56.6466996096,17.3870205072,2022-12-24 20:00:00
1025.44580411,101.247039609,546.001538269,0,44.4937663224,124.558693486,528.136056771,462.787360454,56.6466996096,8.70199670716,2022-12-24 21:00:00
1005.23248028,101.247039609,534.404952632,0,44.4937663224,124.558693486,534.626292413,474.755213927,42.4850247072,17.3860537786,2022-12-24 22:00:00
987.707998552,101.247039609,527.623581051,0,34.9616554283,124.558693486,535.64052295,498.613059746,28.3233498048,8.70411339907,2022-12-24 23:00:00
924.298084592,101.247039609,457.585803965,0,34.9616554283,124.558693486,556.825797169,533.960587033,14.1616749024,8.70353523422,2022-12-25 00:00:00
885.140958513,101.247039609,449.291233023,0,34.9616554283,113.312780494,542.069457465,527.701009209,5.66466996096,8.70377829485,2022-12-25 01:00:00
897.753437484,101.247039609,453.043115296,0,34.9616554283,113.312780494,562.911283736,539.861977872,5.66466996096,17.3846359032,2022-12-25 02:00:00
895.834862629,101.247039609,448.291728599,0,34.9616554283,113.312780494,568.313964973,553.945903298,5.66466996096,8.7033917139,2022-12-25 03:00:00
863.620103953,101.247039609,424.435426714,0,34.9616554283,113.312780494,594.213068518,571.161994334,5.66466996096,17.3864042236,2022-12-25 04:00:00
845.536950405,101.247039609,402.627102593,0,44.4937663224,113.312780494,589.63637276,575.268739944,5.66466996096,8.70296285507,2022-12-25 05:00:00
853.885534675,101.247039609,396.421816679,0,44.4937663224,113.312780494,617.568229834,586.020974404,14.1616749024,17.3855805282,2022-12-25 06:00:00
915.806000981,101.247039609,381.64221004,0,54.0258772165,176.889270242,567.066115867,530.040226956,28.3233498048,8.70253910617,2022-12-25 07:00:00
916.95846437,101.247039609,383.83457001,0,54.0258772165,184.38654557,577.916127228,526.727844337,42.4850247072,8.70325818373,2022-12-25 08:00:00
1028.85042701,101.247039609,417.606859514,0,65.1572554096,220.04316451,564.158612234,490.054778357,56.6466996096,17.4571342675,2022-12-25 09:00:00
1067.8002262,101.247039609,463.700754701,0,65.1572554096,212.545889182,541.931745677,473.171477653,42.4850247072,26.2752433169,2022-12-25 10:00:00
